Submission ID,Broker Name,Channel,Broker Tier,Historical Bind Rate,Industry,Client Revenue ($M),Locations,State,Building Value ($),Contents Value ($),BI Value ($),Submission Complete,CAT Zone,Bind Propensity Score,Total Insured Value ($),Expected Value,Days to Quote,Prior Claims,Bind_Flag,submission_date
SUB0419,Alpha Risk,Portal,Platinum,0.78,Warehousing,87,3,TX,24660638,5566647,2073112,Yes,No,0.86," 3,23,00,397.00 "," 2,77,78,341.00 ",5,No,1,2025-08-28
SUB0420,Alpha Risk,Portal,Platinum,0.78,Real Estate,242,8,NY,58887611,10300727,4715185,Yes,No,0.95," 7,39,03,523.00 "," 7,02,08,346.00 ",7,No,1,2025-09-09
SUB0421,Beta Cover,Email,Gold,0.65,Logistics,77,2,IL,15399710,1545901,585064,Yes,No,0.77," 1,75,30,675.00 "," 1,34,98,619.00 ",4,No,1,2024-10-05
SUB0422,Beta Cover,Email,Gold,0.65,Logistics,69,2,IL,16551645,2180487,1135355,Yes,No,0.72," 1,98,67,487.00 "," 1,43,04,590.00 ",1,Yes,1,2024-11-24
SUB0423,Beta Cover,Email,Gold,0.65,Logistics,67,2,IL,19722147,2363220,952392,Yes,No,0.78," 2,30,37,759.00 "," 1,79,69,452.00 ",5,No,1,2024-12-17
SUB0424,Alpha Risk,Portal,Platinum,0.78,Real Estate,269,8,NY,55918911,10188588,5379603,Yes,No,0.77," 7,14,87,102.00 "," 5,50,45,068.00 ",7,No,1,2025-01-14
SUB0425,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,12,10,FL,8492749,2198604,1253011,No,Yes,0.41," 1,19,44,364.00 "," 48,97,189.00 ",10,Yes,0,2025-02-21
SUB0426,Beta Cover,Email,Gold,0.65,Logistics,54,2,IL,18806310,2940547,1005663,Yes,No,0.72," 2,27,52,520.00 "," 1,63,81,814.00 ",10,Yes,1,2025-03-03
SUB0427,Beta Cover,Email,Gold,0.65,Logistics,75,2,IL,13376566,2287044,1314703,Yes,No,0.79," 1,69,78,313.00 "," 1,34,12,867.00 ",6,No,1,2025-04-28
SUB0428,Beta Cover,Email,Gold,0.65,Logistics,59,2,IL,11683129,2727757,834591,Yes,No,0.74," 1,52,45,477.00 "," 1,12,81,652.00 ",5,No,1,2025-05-01
SUB0429,Beta Cover,Email,Gold,0.65,Logistics,77,2,IL,10958423,2547992,1211758,Yes,No,0.64," 1,47,18,173.00 "," 94,19,630.00 ",4,Yes,1,2025-06-20
SUB0430,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,33,10,FL,10294870,2618545,1479924,No,Yes,0.39," 1,43,93,339.00 "," 56,13,402.00 ",2,No,0,2025-07-21
SUB0431,Alpha Risk,Portal,Platinum,0.78,Warehousing,89,3,TX,26550190,4114807,1915097,Yes,No,0.8," 3,25,80,094.00 "," 2,60,64,075.00 ",4,No,1,2025-08-23
SUB0432,Alpha Risk,Portal,Platinum,0.78,Manufacturing,174,5,OH,44142272,6742616,2796255,Yes,No,0.82," 5,36,81,143.00 "," 4,40,18,537.00 ",10,No,1,2025-09-01
SUB0433,FastBind,Email,Silver,0.5,Office Space,36,3,CO,10066578,2425887,1214130,No,No,0.47," 1,37,06,595.00 "," 64,42,099.00 ",10,No,0,2024-10-03
SUB0434,Delta Insure,API,Bronze,0.35,Hospitality,24,1,LA,7881275,1760431,886031,No,Yes,0.35," 1,05,27,737.00 "," 36,84,707.00 ",3,No,0,2024-11-18
SUB0435,CoreTrust,Portal,Gold,0.66,Education,98,4,NJ,17732924,2862487,2107308,Yes,No,0.79," 2,27,02,719.00 "," 1,79,35,148.00 ",10,No,1,2024-12-25
SUB0436,Alpha Risk,Portal,Platinum,0.78,Real Estate,266,8,NY,61269965,10742237,5129965,Yes,No,0.95," 7,71,42,167.00 "," 7,32,85,058.00 ",1,No,1,2025-01-10
SUB0437,CoreTrust,Portal,Gold,0.66,Education,78,4,NJ,21619676,3556133,2345237,Yes,No,0.77," 2,75,21,046.00 "," 2,11,91,205.00 ",8,No,1,2025-02-22
SUB0438,Alpha Risk,Portal,Platinum,0.78,Real Estate,236,8,NY,58483123,10324336,5425124,Yes,No,0.77," 7,42,32,583.00 "," 5,71,59,088.00 ",5,No,1,2025-03-26
SUB0439,CoreTrust,Portal,Gold,0.66,Education,77,4,NJ,17952417,3822009,1536830,Yes,No,0.68," 2,33,11,256.00 "," 1,58,51,654.00 ",4,No,1,2025-04-03
SUB0440,Alpha Risk,Portal,Platinum,0.78,Real Estate,238,8,NY,62146319,10638010,4958076,Yes,No,0.8," 7,77,42,405.00 "," 6,21,93,924.00 ",8,Yes,1,2025-05-08
SUB0441,Delta Insure,API,Bronze,0.35,Hospitality,25,1,LA,8456768,500000,979279,No,Yes,0.38," 99,36,047.00 "," 37,75,697.00 ",7,No,0,2025-06-14
SUB0442,Delta Insure,API,Bronze,0.35,Hospitality,26,1,LA,4465349,1584906,200000,No,Yes,0.34," 62,50,255.00 "," 21,25,086.00 ",2,No,0,2025-07-24
SUB0443,Beta Cover,Email,Gold,0.65,Manufacturing,120,2,FL,18339409,3324603,3408635,Yes,Yes,0.76," 2,50,72,647.00 "," 1,90,55,211.00 ",1,No,1,2025-08-18
SUB0444,CoreTrust,Portal,Gold,0.66,Education,89,4,NJ,15975610,3701754,2165827,Yes,No,0.78," 2,18,43,191.00 "," 1,70,37,688.00 ",4,No,1,2025-09-15
SUB0445,Beta Cover,Email,Gold,0.65,Logistics,80,2,IL,18485452,1980561,989543,Yes,No,0.68," 2,14,55,556.00 "," 1,45,89,778.00 ",8,No,1,2024-10-22
SUB0446,FastBind,Email,Silver,0.5,Office Space,54,3,CO,10689199,1793014,1010419,No,No,0.55," 1,34,92,632.00 "," 74,20,947.00 ",2,Yes,0,2024-11-23
SUB0447,Alpha Risk,Portal,Platinum,0.78,Manufacturing,185,5,OH,39151484,6176080,2757661,Yes,No,0.81," 4,80,85,225.00 "," 3,89,49,032.00 ",3,Yes,1,2024-12-02
SUB0448,Alpha Risk,Portal,Platinum,0.78,Real Estate,252,8,NY,58504257,9141600,4929838,Yes,No,0.87," 7,25,75,695.00 "," 6,31,40,854.00 ",1,Yes,1,2025-01-27
SUB0449,Beta Cover,Email,Gold,0.65,Logistics,59,2,IL,18033642,2430226,581486,Yes,No,0.73," 2,10,45,354.00 "," 1,53,63,108.00 ",1,Yes,1,2025-02-10
SUB0450,Alpha Risk,Portal,Platinum,0.78,Manufacturing,177,5,OH,39736351,6414745,3499177,Yes,No,0.82," 4,96,50,273.00 "," 4,07,13,223.00 ",3,No,1,2025-03-02
SUB0451,Beta Cover,Email,Gold,0.65,Manufacturing,108,2,FL,21825798,4354448,3356829,Yes,Yes,0.58," 2,95,37,075.00 "," 1,71,31,503.00 ",5,No,0,2025-04-26
SUB0452,Alpha Risk,Portal,Platinum,0.78,Warehousing,74,3,TX,20102399,4928169,2068255,Yes,No,0.88," 2,70,98,823.00 "," 2,38,46,964.00 ",3,Yes,1,2025-05-17
SUB0453,SecureEdge,Wholesaler,Silver,0.4,Retail,25,5,CA,7082972,2981687,1361846,No,No,0.46," 1,14,26,505.00 "," 52,56,192.00 ",1,No,0,2025-06-08
SUB0454,FastBind,Email,Silver,0.5,Office Space,62,3,CO,13031499,2169227,571682,No,No,0.48," 1,57,72,408.00 "," 75,70,755.00 ",1,Yes,0,2025-07-01
SUB0455,SecureEdge,Wholesaler,Silver,0.4,Retail,34,5,CA,11025904,2820566,1134805,No,No,0.49," 1,49,81,275.00 "," 73,40,824.00 ",8,No,0,2025-08-09
SUB0456,CoreTrust,Portal,Gold,0.66,Education,75,4,NJ,18670447,2829400,1917190,Yes,No,0.83," 2,34,17,037.00 "," 1,94,36,140.00 ",10,No,1,2025-09-11
SUB0457,CoreTrust,Portal,Gold,0.66,Education,110,4,NJ,17613464,3991250,2129299,Yes,No,0.78," 2,37,34,013.00 "," 1,85,12,530.00 ",2,Yes,1,2024-10-22
SUB0458,Alpha Risk,Portal,Platinum,0.78,Real Estate,269,8,NY,64847506,9220136,5058333,Yes,No,0.82," 7,91,25,975.00 "," 6,48,83,299.00 ",3,No,1,2024-11-16
SUB0459,SecureEdge,Wholesaler,Silver,0.4,Retail,38,5,CA,10129690,2486718,1661719,No,No,0.52," 1,42,78,127.00 "," 74,24,626.00 ",2,Yes,0,2024-12-07
SUB0460,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,8276453,1177622,1094787,No,Yes,0.33," 1,05,48,862.00 "," 34,81,124.00 ",3,No,0,2025-01-10
SUB0461,Alpha Risk,Portal,Platinum,0.78,Manufacturing,195,5,OH,41929706,7881906,3029201,Yes,No,0.8," 5,28,40,813.00 "," 4,22,72,650.00 ",7,No,1,2025-02-23
SUB0462,Alpha Risk,Portal,Platinum,0.78,Warehousing,73,3,TX,24150751,4975981,2251896,Yes,No,0.82," 3,13,78,628.00 "," 2,57,30,474.00 ",1,Yes,1,2025-03-26
SUB0463,FastBind,Email,Silver,0.5,Office Space,43,3,CO,8027005,1989107,715958,No,No,0.61," 1,07,32,070.00 "," 65,46,562.00 ",10,No,1,2025-04-03
SUB0464,Delta Insure,API,Bronze,0.35,Hospitality,44,1,LA,9164919,938394,200000,No,Yes,0.25," 1,03,03,313.00 "," 25,75,828.00 ",8,Yes,0,2025-05-18
SUB0465,Alpha Risk,Portal,Platinum,0.78,Manufacturing,162,5,OH,43346480,7043577,2663789,Yes,No,0.89," 5,30,53,846.00 "," 4,72,17,922.00 ",10,Yes,1,2025-06-25
SUB0466,Alpha Risk,Portal,Platinum,0.78,Warehousing,81,3,TX,20695711,5811332,2315438,Yes,No,0.79," 2,88,22,481.00 "," 2,27,69,759.00 ",10,No,1,2025-07-24
SUB0467,FastBind,Email,Silver,0.5,Office Space,39,3,CO,13591871,2090949,837364,No,No,0.57," 1,65,20,184.00 "," 94,16,504.00 ",10,No,0,2025-08-13
SUB0468,Beta Cover,Email,Gold,0.65,Logistics,87,2,IL,11762567,1971829,1316667,Yes,No,0.75," 1,50,51,063.00 "," 1,12,88,297.00 ",2,No,1,2025-09-28
SUB0469,Alpha Risk,Portal,Platinum,0.78,Real Estate,269,8,NY,55683796,9132203,5287063,Yes,No,0.93," 7,01,03,062.00 "," 6,51,95,847.00 ",3,No,1,2024-10-26
SUB0470,Delta Insure,API,Bronze,0.35,Hospitality,17,1,LA,1134647,1945921,478899,No,Yes,0.28," 35,59,467.00 "," 9,96,650.00 ",9,No,0,2024-11-07
SUB0471,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,34,10,FL,11601318,2655096,953069,No,Yes,0.42," 1,52,09,483.00 "," 63,87,982.00 ",7,Yes,0,2024-12-25
SUB0472,Alpha Risk,Portal,Platinum,0.78,Warehousing,103,3,TX,20343718,4156248,2227381,Yes,No,0.78," 2,67,27,347.00 "," 2,08,47,330.00 ",4,No,1,2025-01-04
SUB0473,FastBind,Email,Silver,0.5,Office Space,74,3,CO,12599766,956967,720414,No,No,0.57," 1,42,77,147.00 "," 81,37,973.00 ",10,No,0,2025-02-13
SUB0474,Beta Cover,Email,Gold,0.65,Logistics,73,2,IL,15696686,2709551,1349874,Yes,No,0.67," 1,97,56,111.00 "," 1,32,36,594.00 ",5,No,1,2025-03-20
SUB0475,CoreTrust,Portal,Gold,0.66,Education,99,4,NJ,21691679,3310856,2133525,Yes,No,0.65," 2,71,36,060.00 "," 1,76,38,439.00 ",2,No,1,2025-04-01
SUB0476,Alpha Risk,Portal,Platinum,0.78,Warehousing,98,3,TX,26054499,4785233,1656877,Yes,No,0.73," 3,24,96,609.00 "," 2,37,22,524.00 ",8,No,1,2025-05-08
SUB0477,Delta Insure,API,Bronze,0.35,Hospitality,30,1,LA,4338243,500000,859184,No,Yes,0.34," 56,97,427.00 "," 19,37,125.00 ",4,No,0,2025-06-14
SUB0478,Alpha Risk,Portal,Platinum,0.78,Real Estate,250,8,NY,64229045,10815887,5305126,Yes,No,0.9," 8,03,50,058.00 "," 7,23,15,052.00 ",9,No,1,2025-07-16
SUB0479,Beta Cover,Email,Gold,0.65,Logistics,65,2,IL,12994342,1240755,776511,Yes,No,0.68," 1,50,11,608.00 "," 1,02,07,893.00 ",5,No,1,2025-08-14
SUB0480,Beta Cover,Email,Gold,0.65,Logistics,88,2,IL,12910835,2883927,1313601,Yes,No,0.66," 1,71,08,363.00 "," 1,12,91,519.00 ",9,No,1,2025-09-12
SUB0481,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,7719054,2285623,549408,No,Yes,0.36," 1,05,54,085.00 "," 37,99,470.00 ",4,No,0,2024-10-19
SUB0482,Alpha Risk,Portal,Platinum,0.78,Real Estate,266,8,NY,58499202,10474860,5493082,Yes,No,0.95," 7,44,67,144.00 "," 7,07,43,786.00 ",10,No,1,2024-11-23
SUB0483,Beta Cover,Email,Gold,0.65,Manufacturing,119,2,FL,19737522,3480123,2889622,Yes,Yes,0.6," 2,61,07,267.00 "," 1,56,64,360.00 ",5,Yes,0,2024-12-15
SUB0484,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,4572533,2169968,624328,No,Yes,0.34," 73,66,829.00 "," 25,04,721.00 ",9,Yes,0,2025-01-28
SUB0485,Alpha Risk,Portal,Platinum,0.78,Real Estate,267,8,NY,60897590,10494614,4933449,Yes,No,0.95," 7,63,25,653.00 "," 7,25,09,370.00 ",8,No,1,2025-02-02
SUB0486,Beta Cover,Email,Gold,0.65,Logistics,76,2,IL,13857056,1711360,1155272,Yes,No,0.68," 1,67,23,688.00 "," 1,13,72,107.00 ",3,Yes,1,2025-03-02
SUB0487,Alpha Risk,Portal,Platinum,0.78,Warehousing,85,3,TX,22186333,5468045,2143779,Yes,No,0.82," 2,97,98,157.00 "," 2,44,34,488.00 ",1,No,1,2025-04-23
SUB0488,Beta Cover,Email,Gold,0.65,Logistics,85,2,IL,13834032,1017793,1430485,Yes,No,0.6," 1,62,82,310.00 "," 97,69,386.00 ",3,Yes,0,2025-05-22
SUB0489,SecureEdge,Wholesaler,Silver,0.4,Retail,56,5,CA,12315946,3090567,1674504,No,No,0.48," 1,70,81,017.00 "," 81,98,888.00 ",4,No,0,2025-06-19
SUB0490,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,25,10,FL,7328725,1969970,771684,No,Yes,0.33," 1,00,70,379.00 "," 33,23,225.00 ",2,No,0,2025-07-25
SUB0491,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,26,10,FL,11451432,2902772,579948,No,Yes,0.31," 1,49,34,152.00 "," 46,29,587.00 ",1,No,0,2025-08-26
SUB0492,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,6714029,1006648,773715,No,Yes,0.29," 84,94,392.00 "," 24,63,373.00 ",7,Yes,0,2025-09-22
SUB0493,Delta Insure,API,Bronze,0.35,Hospitality,19,1,LA,8841104,1706576,200000,No,Yes,0.29," 1,07,47,680.00 "," 31,16,827.00 ",8,No,0,2024-10-26
SUB0494,Beta Cover,Email,Gold,0.65,Logistics,74,2,IL,17945541,1685766,880009,Yes,No,0.65," 2,05,11,316.00 "," 1,33,32,355.00 ",7,No,1,2024-11-26
SUB0495,Beta Cover,Email,Gold,0.65,Manufacturing,132,2,FL,13128245,3189397,3320420,Yes,Yes,0.71," 1,96,38,062.00 "," 1,39,43,024.00 ",5,Yes,1,2024-12-22
SUB0496,Delta Insure,API,Bronze,0.35,Hospitality,19,1,LA,7565660,513013,675058,No,Yes,0.28," 87,53,731.00 "," 24,51,044.00 ",1,No,0,2025-01-17
SUB0497,Alpha Risk,Portal,Platinum,0.78,Manufacturing,181,5,OH,43722830,6561755,3160292,Yes,No,0.86," 5,34,44,877.00 "," 4,59,62,594.00 ",7,No,1,2025-02-20
SUB0498,SecureEdge,Wholesaler,Silver,0.4,Retail,31,5,CA,14141965,2312474,1974406,No,No,0.48," 1,84,28,845.00 "," 88,45,845.00 ",7,No,0,2025-03-10
SUB0499,Alpha Risk,Portal,Platinum,0.78,Real Estate,263,8,NY,55780298,10134789,5492930,Yes,No,0.84," 7,14,08,017.00 "," 5,99,82,734.00 ",9,No,1,2025-04-06
SUB0500,Beta Cover,Email,Gold,0.65,Logistics,66,2,IL,15488529,1867196,893656,Yes,No,0.67," 1,82,49,381.00 "," 1,22,27,085.00 ",3,Yes,1,2025-05-15
SUB0501,CoreTrust,Portal,Gold,0.66,Education,86,4,NJ,21552829,4062841,2202757,Yes,No,0.81," 2,78,18,427.00 "," 2,25,32,925.00 ",9,No,1,2025-06-22
SUB0502,SecureEdge,Wholesaler,Silver,0.4,Retail,49,5,CA,15569234,2242446,1897649,No,No,0.53," 1,97,09,329.00 "," 1,04,45,944.00 ",1,No,0,2025-07-11
SUB0503,Beta Cover,Email,Gold,0.65,Manufacturing,123,2,FL,16689954,4588285,3480189,Yes,Yes,0.62," 2,47,58,428.00 "," 1,53,50,225.00 ",1,Yes,1,2025-08-28
SUB0504,Beta Cover,Email,Gold,0.65,Manufacturing,116,2,FL,16668689,4951383,3247596,Yes,Yes,0.62," 2,48,67,668.00 "," 1,54,17,954.00 ",4,No,1,2025-09-05
SUB0505,Alpha Risk,Portal,Platinum,0.78,Manufacturing,196,5,OH,37831569,6791868,2763467,Yes,No,0.79," 4,73,86,904.00 "," 3,74,35,654.00 ",9,No,1,2024-10-01
SUB0506,Alpha Risk,Portal,Platinum,0.78,Real Estate,250,8,NY,55506347,9235511,4637421,Yes,No,0.95," 6,93,79,279.00 "," 6,59,10,315.00 ",6,Yes,1,2024-11-08
SUB0507,Delta Insure,API,Bronze,0.35,Hospitality,35,1,LA,9256142,553705,822539,No,Yes,0.25," 1,06,32,386.00 "," 26,58,096.00 ",3,No,0,2024-12-21
SUB0508,Delta Insure,API,Bronze,0.35,Hospitality,13,1,LA,5738425,534903,865124,No,Yes,0.25," 71,38,452.00 "," 17,84,613.00 ",1,No,0,2025-01-28
SUB0509,Delta Insure,API,Bronze,0.35,Hospitality,21,1,LA,7423918,690280,538821,No,Yes,0.36," 86,53,019.00 "," 31,15,086.00 ",4,No,0,2025-02-12
SUB0510,SecureEdge,Wholesaler,Silver,0.4,Retail,26,5,CA,12567291,2027216,1014034,No,No,0.49," 1,56,08,541.00 "," 76,48,185.00 ",9,No,0,2025-03-12
SUB0511,CoreTrust,Portal,Gold,0.66,Education,108,4,NJ,18202856,2504308,1976087,Yes,No,0.67," 2,26,83,251.00 "," 1,51,97,778.00 ",3,Yes,1,2025-04-05
SUB0512,CoreTrust,Portal,Gold,0.66,Education,92,4,NJ,23127175,3242774,2195862,Yes,No,0.82," 2,85,65,811.00 "," 2,34,23,965.00 ",9,No,1,2025-05-07
SUB0513,Alpha Risk,Portal,Platinum,0.78,Real Estate,231,8,NY,59253557,9525320,4938224,Yes,No,0.87," 7,37,17,101.00 "," 6,41,33,877.00 ",7,No,1,2025-06-04
SUB0514,Alpha Risk,Portal,Platinum,0.78,Manufacturing,173,5,OH,37084155,7338779,3437686,Yes,No,0.9," 4,78,60,620.00 "," 4,30,74,558.00 ",4,No,1,2025-07-06
SUB0515,FastBind,Email,Silver,0.5,Office Space,41,3,CO,13409895,1419588,1338052,No,No,0.54," 1,61,67,535.00 "," 87,30,468.00 ",3,No,0,2025-08-13
SUB0516,CoreTrust,Portal,Gold,0.66,Education,90,4,NJ,16554636,3028346,1719135,Yes,No,0.8," 2,13,02,117.00 "," 1,70,41,693.00 ",10,No,1,2025-09-20
SUB0517,SecureEdge,Wholesaler,Silver,0.4,Retail,40,5,CA,7279361,2651884,1002455,No,No,0.37," 1,09,33,700.00 "," 40,45,469.00 ",5,No,0,2024-10-15
SUB0518,CoreTrust,Portal,Gold,0.66,Education,97,4,NJ,19976459,4259521,1788309,Yes,No,0.8," 2,60,24,289.00 "," 2,08,19,431.00 ",5,No,1,2024-11-03
SUB0519,Alpha Risk,Portal,Platinum,0.78,Manufacturing,196,5,OH,43542862,6945848,2610932,Yes,No,0.92," 5,30,99,642.00 "," 4,88,51,670.00 ",3,No,1,2024-12-23
SUB0520,FastBind,Email,Silver,0.5,Office Space,58,3,CO,6091752,1422929,1356492,No,No,0.5," 88,71,173.00 "," 44,35,586.00 ",9,No,0,2025-01-08
SUB0521,Alpha Risk,Portal,Platinum,0.78,Real Estate,239,8,NY,56909228,9312431,4620185,Yes,No,0.79," 7,08,41,844.00 "," 5,59,65,056.00 ",4,No,1,2025-02-20
SUB0522,Alpha Risk,Portal,Platinum,0.78,Warehousing,65,3,TX,26445475,4675798,1901394,Yes,No,0.74," 3,30,22,667.00 "," 2,44,36,773.00 ",5,No,1,2025-03-16
SUB0523,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,4372084,1445849,795167,No,Yes,0.34," 66,13,100.00 "," 22,48,454.00 ",4,Yes,0,2025-04-13
SUB0524,Alpha Risk,Portal,Platinum,0.78,Warehousing,67,3,TX,25931015,4739259,2330380,Yes,No,0.89," 3,30,00,654.00 "," 2,93,70,582.00 ",5,Yes,1,2025-05-18
SUB0525,SecureEdge,Wholesaler,Silver,0.4,Retail,42,5,CA,16180965,2408109,1624967,No,No,0.54," 2,02,14,041.00 "," 1,09,15,582.00 ",7,No,0,2025-06-28
SUB0526,Beta Cover,Email,Gold,0.65,Manufacturing,138,2,FL,18769289,4220982,2705817,Yes,Yes,0.58," 2,56,96,088.00 "," 1,49,03,731.00 ",9,No,0,2025-07-10
SUB0527,Alpha Risk,Portal,Platinum,0.78,Manufacturing,174,5,OH,42425857,6307639,2565756,Yes,No,0.75," 5,12,99,252.00 "," 3,84,74,439.00 ",7,No,1,2025-08-19
SUB0528,Alpha Risk,Portal,Platinum,0.78,Real Estate,230,8,NY,56171417,9996110,5308433,Yes,No,0.8," 7,14,75,960.00 "," 5,71,80,768.00 ",5,No,1,2025-09-17
SUB0529,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,24,10,FL,6395542,1513422,737162,No,Yes,0.33," 86,46,126.00 "," 28,53,221.00 ",10,No,0,2024-10-24
SUB0530,CoreTrust,Portal,Gold,0.66,Education,75,4,NJ,21740278,3480435,2341224,Yes,No,0.78," 2,75,61,937.00 "," 2,14,98,310.00 ",10,No,1,2024-11-19
SUB0531,Alpha Risk,Portal,Platinum,0.78,Real Estate,260,8,NY,56843402,10889937,5215712,Yes,No,0.91," 7,29,49,051.00 "," 6,63,83,636.00 ",7,No,1,2024-12-28
SUB0532,FastBind,Email,Silver,0.5,Office Space,36,3,CO,10450830,2052570,1169178,No,No,0.49," 1,36,72,578.00 "," 66,99,563.00 ",10,No,0,2025-01-26
SUB0533,CoreTrust,Portal,Gold,0.66,Education,112,4,NJ,21933046,3500318,2011494,Yes,No,0.72," 2,74,44,858.00 "," 1,97,60,297.00 ",5,No,1,2025-02-23
SUB0534,Beta Cover,Email,Gold,0.65,Logistics,65,2,IL,18192411,2124232,509753,Yes,No,0.6," 2,08,26,396.00 "," 1,24,95,837.00 ",3,No,0,2025-03-26
SUB0535,Alpha Risk,Portal,Platinum,0.78,Manufacturing,166,5,OH,43986912,7999558,3070191,Yes,No,0.81," 5,50,56,661.00 "," 4,45,95,895.00 ",7,No,1,2025-04-05
SUB0536,FastBind,Email,Silver,0.5,Office Space,48,3,CO,8273730,1237950,906969,No,No,0.52," 1,04,18,649.00 "," 54,17,697.00 ",2,Yes,0,2025-05-26
SUB0537,CoreTrust,Portal,Gold,0.66,Education,94,4,NJ,19739575,4061081,1636548,Yes,No,0.75," 2,54,37,204.00 "," 1,90,77,903.00 ",9,Yes,1,2025-06-21
SUB0538,Beta Cover,Email,Gold,0.65,Logistics,50,2,IL,13074349,1253027,1041036,Yes,No,0.62," 1,53,68,412.00 "," 95,28,415.00 ",10,Yes,1,2025-07-23
SUB0539,Delta Insure,API,Bronze,0.35,Hospitality,31,1,LA,6466969,1859071,423165,No,Yes,0.29," 87,49,205.00 "," 25,37,269.00 ",10,No,0,2025-08-09
SUB0540,CoreTrust,Portal,Gold,0.66,Education,86,4,NJ,22596942,3377482,2487122,Yes,No,0.77," 2,84,61,546.00 "," 2,19,15,390.00 ",1,No,1,2025-09-12
SUB0541,Beta Cover,Email,Gold,0.65,Manufacturing,138,2,FL,18924027,3673419,2577572,Yes,Yes,0.64," 2,51,75,018.00 "," 1,61,12,011.00 ",6,No,1,2024-10-21
SUB0542,CoreTrust,Portal,Gold,0.66,Education,89,4,NJ,15013688,2589765,1515205,Yes,No,0.68," 1,91,18,658.00 "," 1,30,00,687.00 ",7,No,1,2024-11-01
SUB0543,Alpha Risk,Portal,Platinum,0.78,Warehousing,66,3,TX,23979366,5458620,1976752,Yes,No,0.78," 3,14,14,738.00 "," 2,45,03,495.00 ",8,Yes,1,2024-12-26
SUB0544,SecureEdge,Wholesaler,Silver,0.4,Retail,48,5,CA,9429361,2349725,1038394,No,No,0.53," 1,28,17,480.00 "," 67,93,264.00 ",10,No,0,2025-01-26
SUB0545,Alpha Risk,Portal,Platinum,0.78,Manufacturing,191,5,OH,37080976,7859611,3170275,Yes,No,0.93," 4,81,10,862.00 "," 4,47,43,101.00 ",9,Yes,1,2025-02-01
SUB0546,Alpha Risk,Portal,Platinum,0.78,Real Estate,244,8,NY,60517206,10830128,5215700,Yes,No,0.8," 7,65,63,034.00 "," 6,12,50,427.00 ",2,No,1,2025-03-15
SUB0547,Delta Insure,API,Bronze,0.35,Hospitality,41,1,LA,9252735,500000,621979,No,Yes,0.25," 1,03,74,714.00 "," 25,93,678.00 ",10,Yes,0,2025-04-02
SUB0548,CoreTrust,Portal,Gold,0.66,Education,113,4,NJ,21698296,3456600,1542506,Yes,No,0.78," 2,66,97,402.00 "," 2,08,23,973.00 ",2,No,1,2025-05-22
SUB0549,Beta Cover,Email,Gold,0.65,Logistics,67,2,IL,19462833,2505600,621882,Yes,No,0.66," 2,25,90,315.00 "," 1,49,09,607.00 ",5,Yes,1,2025-06-16
SUB0550,Delta Insure,API,Bronze,0.35,Hospitality,17,1,LA,4289618,1480451,505801,No,Yes,0.26," 62,75,870.00 "," 16,31,726.00 ",5,No,0,2025-07-25
SUB0551,CoreTrust,Portal,Gold,0.66,Education,107,4,NJ,15923874,4264405,2108950,Yes,No,0.82," 2,22,97,229.00 "," 1,82,83,727.00 ",6,No,1,2025-08-08
SUB0552,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,30,10,FL,12750885,1210099,1150979,No,Yes,0.37," 1,51,11,963.00 "," 55,91,426.00 ",3,No,0,2025-09-13
SUB0553,Alpha Risk,Portal,Platinum,0.78,Real Estate,236,8,NY,55328960,9952546,5451180,Yes,No,0.8," 7,07,32,686.00 "," 5,65,86,148.00 ",8,No,1,2024-10-21
SUB0554,Alpha Risk,Portal,Platinum,0.78,Warehousing,90,3,TX,24240473,5025027,1834087,Yes,No,0.76," 3,10,99,587.00 "," 2,36,35,686.00 ",1,No,1,2024-11-01
SUB0555,CoreTrust,Portal,Gold,0.66,Education,104,4,NJ,20598137,3163981,2004008,Yes,No,0.82," 2,57,66,126.00 "," 2,11,28,223.00 ",6,No,1,2024-12-16
SUB0556,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,8841246,2620193,968997,No,Yes,0.3," 1,24,30,436.00 "," 37,29,130.00 ",4,No,0,2025-01-07
SUB0557,Beta Cover,Email,Gold,0.65,Logistics,83,2,IL,13273750,1692316,725481,Yes,No,0.72," 1,56,91,547.00 "," 1,12,97,913.00 ",1,No,1,2025-02-05
SUB0558,FastBind,Email,Silver,0.5,Office Space,71,3,CO,11824570,1270083,918989,No,No,0.44," 1,40,13,642.00 "," 61,66,002.00 ",7,No,0,2025-03-22
